EnergyImpactID,Version,VersionSource,LastMod,PA,BldgType,BldgVint,BldgLoc,BldgHVAC,NormUnit,NumUnit,MeasArea,ScaleBasis,APreWBkWh,APreWBkW,APreWBtherm,AStdWBkWh,AStdWBkW,AStdWBtherm,APreEUkWh,APreEUkW,APreEUtherm,AStdEUkWh,AStdEUkW,AStdEUtherm,ElecImpactProfileID,GasImpactProfileID,Flag,SourceDesc,APreUseWBkWh,APreUseWBtherm,AStdUseWBkWh,AStdUseWBtherm,AMsrUseWBkWh,AMsrUseWBtherm,APreUseEUkWh,APreUseEUtherm,AStdUseEUkWh,AStdUseEUtherm,AMsrUseEUkWh,AMsrUseEUtherm
NE-HVAC-Unitary-addVFDExMtr,DEER2024,D24_E+_Com_v1,2026-06-11 01:51:37,Any,Asm,Ex,CZ01,cDXGF,Each,1,68000,None,136000,21.9,1380,,,,,,,,,,,,20,"",506900,13402,,,371140,12025,,,,,,
NE-HVAC-Unitary-addVFDExMtr,DEER2024,D24_E+_Com_v1,2026-06-11 01:51:37,Any,Asm,Ex,CZ02,cDXGF,Each,1,68000,None,140000,20.1,-187,,,,,,,,,,,,20,"",599690,9656.5,,,459380,9843.7,,,,,,
NE-HVAC-Unitary-addVFDExMtr,DEER2024,D24_E+_Com_v1,2026-06-11 01:51:37,Any,Asm,Ex,CZ03,cDXGF,Each,1,68000,None,133000,19.3,489,,,,,,,,,,,,20,"",546380,6370.9,,,413520,5882.0,,,,,,
NE-HVAC-Unitary-addVFDExMtr,DEER2024,D24_E+_Com_v1,2026-06-11 01:51:37,Any,Asm,Ex,CZ04,cDXGF,Each,1,68000,None,147000,21.2,-286,,,,,,,,,,,,20,"",673020,7878.3,,,526130,8164.6,,,,,,
NE-HVAC-Unitary-addVFDExMtr,DEER2024,D24_E+_Com_v1,2026-06-11 01:51:37,Any,Asm,Ex,CZ05,cDXGF,Each,1,68000,None,135000,22.1,251,,,,,,,,,,,,20,"",559560,6229.3,,,424860,5978.8,,,,,,
NE-HVAC-Unitary-addVFDExMtr,DEER2024,D24_E+_Com_v1,2026-06-11 01:51:37,Any,Asm,Ex,CZ06,cDXGF,Each,1,68000,None,132000,23.7,127,,,,,,,,,,,,20,"",604790,2140.1,,,473240,2012.8,,,,,,
NE-HVAC-Unitary-addVFDExMtr,DEER2024,D24_E+_Com_v1,2026-06-11 01:51:37,Any,Asm,Ex,CZ07,cDXGF,Each,1,68000,None,134000,21.6,73.2,,,,,,,,,,,,20,"",610760,1970.5,,,476870,1897.2,,,,,,
NE-HVAC-Unitary-addVFDExMtr,DEER2024,D24_E+_Com_v1,2026-06-11 01:51:37,Any,Asm,Ex,CZ08,cDXGF,Each,1,68000,None,140000,21.1,-10.2,,,,,,,,,,,,20,"",677470,2526.8,,,537280,2536.9,,,,,,
NE-HVAC-Unitary-addVFDExMtr,DEER2024,D24_E+_Com_v1,2026-06-11 01:51:37,Any,Asm,Ex,CZ09,cDXGF,Each,1,68000,None,147000,21.8,-119,,,,,,,,,,,,20,"",688920,3125.3,,,541450,3244.3,,,,,,
NE-HVAC-Unitary-addVFDExMtr,DEER2024,D24_E+_Com_v1,2026-06-11 01:51:37,Any,Asm,Ex,CZ10,cDXGF,Each,1,68000,None,145000,19.9,-95.3,,,,,,,,,,,,20,"",709130,3333.3,,,564400,3428.6,,,,,,
NE-HVAC-Unitary-addVFDExMtr,DEER2024,D24_E+_Com_v1,2026-06-11 01:51:37,Any,Asm,Ex,CZ11,cDXGF,Each,1,68000,None,145000,15,-482,,,,,,,,,,,,20,"",733140,8079.4,,,587960,8561.7,,,,,,
NE-HVAC-Unitary-addVFDExMtr,DEER2024,D24_E+_Com_v1,2026-06-11 01:51:37,Any,Asm,Ex,CZ12,cDXGF,Each,1,68000,None,143000,16.7,-279,,,,,,,,,,,,20,"",660700,8205.8,,,517790,8485.1,,,,,,
NE-HVAC-Unitary-addVFDExMtr,DEER2024,D24_E+_Com_v1,2026-06-11 01:51:37,Any,Asm,Ex,CZ13,cDXGF,Each,1,68000,None,147000,13.9,-279,,,,,,,,,,,,20,"",742950,6965.0,,,596230,7244.1,,,,,,
NE-HVAC-Unitary-addVFDExMtr,DEER2024,D24_E+_Com_v1,2026-06-11 01:51:37,Any,Asm,Ex,CZ14,cDXGF,Each,1,68000,None,157000,22.4,-474,,,,,,,,,,,,20,"",748200,6906.2,,,590860,7379.8,,,,,,
NE-HVAC-Unitary-addVFDExMtr,DEER2024,D24_E+_Com_v1,2026-06-11 01:51:37,Any,Asm,Ex,CZ15,cDXGF,Each,1,68000,None,141000,6.29,-38.5,,,,,,,,,,,,20,"",915880,1909.6,,,774440,1948.2,,,,,,
NE-HVAC-Unitary-addVFDExMtr,DEER2024,D24_E+_Com_v1,2026-06-11 01:51:37,Any,Asm,Ex,CZ16,cDXGF,Each,1,68000,None,169000,29.6,-1400,,,,,,,,,,,,20,"",626750,12514,,,457670,13910,,,,,,
NE-HVAC-Unitary-addVFDExMtr,DEER2024,D24_E+_Com_v1,2026-06-11 01:51:37,Any,Asm,Ex,CZ01,cDXHP,Each,1,68000,None,149000,22.7,-0.00171,,,,,,,,,,,,20,"",560160,827.22,,,411240,827.22,,,,,,
NE-HVAC-Unitary-addVFDExMtr,DEER2024,D24_E+_Com_v1,2026-06-11 01:51:37,Any,Asm,Ex,CZ02,cDXHP,Each,1,68000,None,143000,16.9,-0.00785,,,,,,,,,,,,20,"",637580,786.17,,,494150,786.17,,,,,,
NE-HVAC-Unitary-addVFDExMtr,DEER2024,D24_E+_Com_v1,2026-06-11 01:51:37,Any,Asm,Ex,CZ03,cDXHP,Each,1,68000,None,139000,17.2,-0.00614,,,,,,,,,,,,20,"",571060,779.34,,,431580,779.35,,,,,,
NE-HVAC-Unitary-addVFDExMtr,DEER2024,D24_E+_Com_v1,2026-06-11 01:51:37,Any,Asm,Ex,CZ04,cDXHP,Each,1,68000,None,145000,17.4,-0.00205,,,,,,,,,,,,20,"",703730,762.24,,,558470,762.24,,,,,,
NE-HVAC-Unitary-addVFDExMtr,DEER2024,D24_E+_Com_v1,2026-06-11 01:51:37,Any,Asm,Ex,CZ05,cDXHP,Each,1,68000,None,140000,22.8,0.000341,,,,,,,,,,,,20,"",584010,782.16,,,443800,782.16,,,,,,
NE-HVAC-Unitary-addVFDExMtr,DEER2024,D24_E+_Com_v1,2026-06-11 01:51:37,Any,Asm,Ex,CZ06,cDXHP,Each,1,68000,None,132000,22.7,-0.00137,,,,,,,,,,,,20,"",610430,734.11,,,478750,734.11,,,,,,
NE-HVAC-Unitary-addVFDExMtr,DEER2024,D24_E+_Com_v1,2026-06-11 01:51:37,Any,Asm,Ex,CZ07,cDXHP,Each,1,68000,None,134000,17.5,-0.00102,,,,,,,,,,,,20,"",616730,728.37,,,482470,728.37,,,,,,
NE-HVAC-Unitary-addVFDExMtr,DEER2024,D24_E+_Com_v1,2026-06-11 01:51:37,Any,Asm,Ex,CZ08,cDXHP,Each,1,68000,None,133000,14.7,-0.00785,,,,,,,,,,,,20,"",685160,716.94,,,551680,716.95,,,,,,
