EnergyImpactID,Version,VersionSource,LastMod,PA,BldgType,BldgVint,BldgLoc,BldgHVAC,NormUnit,NumUnit,MeasArea,ScaleBasis,APreWBkWh,APreWBkW,APreWBtherm,AStdWBkWh,AStdWBkW,AStdWBtherm,APreEUkWh,APreEUkW,APreEUtherm,AStdEUkWh,AStdEUkW,AStdEUtherm,ElecImpactProfileID,GasImpactProfileID,Flag,SourceDesc,APreUseWBkWh,APreUseWBtherm,AStdUseWBkWh,AStdUseWBtherm,AMsrUseWBkWh,AMsrUseWBtherm,APreUseEUkWh,APreUseEUtherm,AStdUseEUkWh,AStdUseEUtherm,AMsrUseEUkWh,AMsrUseEUtherm
NB-Fenest-ManufWin,DEER2024,D24_E+_Com_v1,2026-09-14 20:09:17,Any,ECC,Ex,CZ03,cWtd,Each,1,284000,None,16400,10.6,908,,,,,,,,,,,,20,"",1948102.21,23351.18020477816,,,1931722.67,22443.56962457338,,,,,,
NB-Fenest-ManufWin,DEER2024,D24_E+_Com_v1,2026-09-14 20:09:17,Any,ECC,Ex,CZ04,cWtd,Each,1,284000,None,21400,14.1,1250,,,,,,,,,,,,20,"",2438054.67,26299.30204778157,,,2416642.4499999997,25044.46109215017,,,,,,
NB-Fenest-ManufWin,DEER2024,D24_E+_Com_v1,2026-09-14 20:09:17,Any,ECC,Ex,CZ05,cWtd,Each,1,284000,None,21400,7.77,797,,,,,,,,,,,,20,"",1985525.43,23643.82218430034,,,1964165.5199999998,22846.53481228669,,,,,,
NB-Fenest-ManufWin,DEER2024,D24_E+_Com_v1,2026-09-14 20:09:17,Any,ECC,Ex,CZ06,cWtd,Each,1,284000,None,29100,15.1,360,,,,,,,,,,,,20,"",2317967.4000000004,18401.29829351536,,,2288847.7800000003,18041.146075085326,,,,,,
NB-Fenest-ManufWin,DEER2024,D24_E+_Com_v1,2026-09-14 20:09:17,Any,ECC,Ex,CZ07,cWtd,Each,1,284000,None,31300,11.9,364,,,,,,,,,,,,20,"",2383087.0500000003,18859.121843003413,,,2351778.3800000004,18494.70170648464,,,,,,
NB-Fenest-ManufWin,DEER2024,D24_E+_Com_v1,2026-09-14 20:09:17,Any,ECC,Ex,CZ08,cWtd,Each,1,284000,None,47200,-2.55,554,,,,,,,,,,,,20,"",2634198.8200000003,19592.263822525594,,,2586973.3100000005,19038.526279863483,,,,,,
NB-Fenest-ManufWin,DEER2024,D24_E+_Com_v1,2026-09-14 20:09:17,Any,ECC,Ex,CZ09,cWtd,Each,1,284000,None,82000,19.8,609,,,,,,,,,,,,20,"",2654229.8400000003,20273.02627986348,,,2572229.62,19664.116723549487,,,,,,
NB-Fenest-ManufWin,DEER2024,D24_E+_Com_v1,2026-09-14 20:09:17,Any,ECC,Ex,CZ10,cWtd,Each,1,284000,None,21100,10.4,1120,,,,,,,,,,,,20,"",2706113.0700000003,21400.864846416385,,,2685007.94,20277.593174061432,,,,,,
NB-Fenest-ManufWin,DEER2024,D24_E+_Com_v1,2026-09-14 20:09:17,Any,ECC,Ex,CZ11,cWtd,Each,1,284000,None,43800,11.5,1880,,,,,,,,,,,,20,"",2673296.21,26447.044368600684,,,2629478.14,24564.24470989761,,,,,,
NB-Fenest-ManufWin,DEER2024,D24_E+_Com_v1,2026-09-14 20:09:17,Any,ECC,Ex,CZ12,cWtd,Each,1,284000,None,18700,26.6,1650,,,,,,,,,,,,20,"",2426708.71,26319.547440273036,,,2407996.54,24665.48293515358,,,,,,
NB-Fenest-ManufWin,DEER2024,D24_E+_Com_v1,2026-09-14 20:09:17,Any,ECC,Ex,CZ13,cWtd,Each,1,284000,None,23000,-11.8,1330,,,,,,,,,,,,20,"",2746601.1799999997,24054.578498293515,,,2723595.1,22727.305119453926,,,,,,
