Sector,BldgType,BldgVint,BldgHVAC,BldgLoc,Type,Source Year,TechGroup,TechType,TechID,annual_sum
Com,Asm,Ex,cDXGF,CZ01,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst,506900.7222260942
Com,Asm,Ex,cDXGF,CZ01,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDExMtr,371139.10196883976
Com,Asm,Ex,cDXGF,CZ01,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDPMMtr,366294.32279647596
Com,Asm,Ex,cDXGF,CZ01,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDStdMtr,369681.3952688428
Com,Asm,Ex,cDXHP,CZ01,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,560156.3723805886
Com,Asm,Ex,cDXHP,CZ01,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-VFDExMtr,411239.0180640238
Com,Asm,Ex,cDXHP,CZ01,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-VFDPMMtr,406985.92512976023
Com,Asm,Ex,cDXHP,CZ01,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-VFDStdMtr,409941.3799583179
Com,Asm,Ex,cDXOH,CZ01,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,508323.40934077575
Com,Asm,Ex,cDXOH,CZ01,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDExMtr,424914.55777783546
Com,Asm,Ex,cDXOH,CZ01,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDPMMtr,422374.19302147115
Com,Asm,Ex,cDXOH,CZ01,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDStdMtr,424324.523028056
Com,Asm,Ex,cDXGF,CZ02,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst,599691.6931803345
Com,Asm,Ex,cDXGF,CZ02,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDExMtr,459378.1031677529
Com,Asm,Ex,cDXGF,CZ02,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDPMMtr,453724.9253871758
Com,Asm,Ex,cDXGF,CZ02,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDStdMtr,457575.10527667694
Com,Asm,Ex,cDXHP,CZ02,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,637580.5513022394
Com,Asm,Ex,cDXHP,CZ02,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-VFDExMtr,494151.90909248265
Com,Asm,Ex,cDXHP,CZ02,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-VFDPMMtr,489021.4562273767
Com,Asm,Ex,cDXHP,CZ02,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-VFDStdMtr,492625.6029480551
Com,Asm,Ex,cDXOH,CZ02,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,597249.9266274342
Com,Asm,Ex,cDXOH,CZ02,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDExMtr,494005.9231625977
Com,Asm,Ex,cDXOH,CZ02,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDPMMtr,489987.79387111857
Com,Asm,Ex,cDXOH,CZ02,Whole Building,2009,,,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDStdMtr,492790.4443210377
