TechID,SizingID,BldgType,BldgVint,BldgLoc,BldgHVAC,tstat,normunit,numunits,measarea,kwh_tot,kwh_ltg,kwh_task,kwh_equip,kwh_htg,kwh_clg,kwh_twr,kwh_aux,kwh_vent,kwh_venthtg,kwh_ventclg,kwh_refg,kwh_hpsup,kwh_shw,kwh_ext,thm_tot,thm_equip,thm_htg,thm_shw,deskw_ltg,deskw_equ,lastmod
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,SCn,Ex,CZ02,cDXOH,0,Each,1.0,499990.41934355197,2375867.4499999997,850055.03,0,449066.39,0.0,187103.35,0,0,889639.32,0,0,0.0,0,0,0,2981.970989761092,0.0,0.0,2981.970989761092,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,SCn,Ex,CZ01,cDXOH,0,Each,1.0,499990.41934355197,1973373.4200000002,850055.03,0,449066.39,0.0,421.43,0,0,673827.21,0,0,0.0,0,0,0,3182.172013651877,0.0,0.0,3182.172013651877,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,None,SCn,Ex,CZ16,cDXHP,0,Each,1.0,499990.41934355197,3645330.6199999996,850055.03,0,449066.39,314253.4,201532.41,0,0,1830420.03,0,0,0.0,0,0,0,3114.9006825938563,0.0,0.0,3114.9006825938563,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,None,SCn,Ex,CZ15,cDXHP,0,Each,1.0,499990.41934355197,4411518.79,850055.03,0,449066.39,21097.58,1402443.74,0,0,1688852.69,0,0,0.0,0,0,0,2227.945733788396,0.0,0.0,2227.945733788396,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,None,SCn,Ex,CZ14,cDXHP,0,Each,1.0,499990.41934355197,3858817.27,850055.03,0,449066.39,148579.11,724399.54,0,0,1686713.84,0,0,0.0,0,0,0,2717.4327645051194,0.0,0.0,2717.4327645051194,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,None,SCn,Ex,CZ13,cDXHP,0,Each,1.0,499990.41934355197,3720934.64,850055.03,0,449066.39,154389.72,755868.27,0,0,1511551.87,0,0,0.0,0,0,0,2641.867918088737,0.0,0.0,2641.867918088737,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,None,SCn,Ex,CZ12,cDXHP,0,Each,1.0,499990.41934355197,3517891.84,850055.03,0,449066.39,176099.76,470300.35,0,0,1572366.95,0,0,0.0,0,0,0,2822.4921501706485,0.0,0.0,2822.4921501706485,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,None,SCn,Ex,CZ11,cDXHP,0,Each,1.0,499990.41934355197,3692436.0900000003,850055.03,0,449066.39,179134.39,700581.17,0,0,1513595.75,0,0,0.0,0,0,0,2696.5020477815697,0.0,0.0,2696.5020477815697,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,None,SCn,Ex,CZ10,cDXHP,0,Each,1.0,499990.41934355197,3307716.78,850055.03,0,449066.39,58074.93,586510.44,0,0,1364006.63,0,0,0.0,0,0,0,2629.674744027304,0.0,0.0,2629.674744027304,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,None,SCn,Ex,CZ09,cDXHP,0,Each,1.0,499990.41934355197,3267640.44,850055.03,0,449066.39,58178.2,513841.07,0,0,1396496.39,0,0,0.0,0,0,0,2663.734470989761,0.0,0.0,2663.734470989761,1,1,2026-07-16 22:51:30.560719
